group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
text,human,Human,Task2,task9,Cluster Count,0.7133333333333334,2140,860,3000,0.008256086419300791,0.6968866223805359,0.7292343821358143,,0.7133333333333334,0.6968866223805359,0.7292343821358143,
text,human,Human,Task3,task3,Column Count,0.634,1902,1098,3000,0.008794771173828231,0.6166010502634057,0.6510562056984267,,0.634,0.6166010502634057,0.6510562056984267,
text,human,Human,Task4,task4,Layer Count,0.9623333333333334,2887,113,3000,0.003476007714264975,0.9549078143842085,0.968576300091069,,0.9623333333333334,0.9549078143842085,0.968576300091069,
text,human,Human,Task5,task5,Visible Object Count,0.768,2304,696,3000,0.007706620530427069,0.7525580511003855,0.7827564608232793,,0.768,0.7525580511003855,0.7827564608232793,
text,human,Human,Task6,task2,Top Layer,0.9643333333333334,2893,107,3000,0.003385978714028167,0.9570806942473066,0.9703983046453116,,0.9643333333333334,0.9570806942473066,0.9703983046453116,
text,human,Human,Task7,task6,Direct Support,0.8003333333333333,2401,599,3000,0.0072983991141639835,0.7856483672393598,0.8142501094313143,,0.8003333333333333,0.7856483672393598,0.8142501094313143,
text,human,Human,Task8,task7,Support Column,0.835,2505,495,3000,0.006776798654231953,0.8212906286255528,0.847852511279028,,0.835,0.8212906286255528,0.847852511279028,
text,human,Human,Task9,task8,Hidden Object Count,0.7993333333333333,2398,602,3000,0.007312080314009038,0.7846228920123969,0.8132781424496068,,0.7993333333333333,0.7846228920123969,0.8132781424496068,
text,human,Human,Target1,main,Object Counting,0.8213333333333334,2464,536,3000,0.0069939232883241545,0.8072168978202137,0.8346278652325387,,0.8213333333333334,0.8072168978202137,0.8346278652325387,
text,human,Human,Target2a,task10,Mental Rotation 90,0.4643333333333333,1393,1607,3000,0.009105454205930438,0.4465436143844805,0.4822142801729424,,0.4643333333333333,0.4465436143844805,0.4822142801729424,
text,human,Human,Target2b,task11,Mental Rotation 180,0.4583333333333333,1375,1625,3000,0.009096957163229343,0.44056790995955636,0.47620533134584414,,0.4583333333333333,0.44056790995955636,0.47620533134584414,
text,qwen,Qwen,Task2,task9,Cluster Count,0.45766666666666667,1373,1627,3000,0.009095931121274114,0.43990410306647454,0.4755375100998124,,0.45766666666666667,0.43990410306647454,0.4755375100998124,
