group,model,display_name,prediction_correlation_r,prediction_correlation_p,exact_match_rate,both_wrong_exact_match_rate,mean_absolute_residual,residual_bias,both_wrong_n,n
text,claude,Claude,0.9407216723178051,0.0,0.437,0.25766871165644173,1.376,-0.404,1304,3000
text,gemini,Gemini,0.7115353432965528,0.0,0.185728576192064,0.11768617021276596,2.798266088696232,-0.7269089696565522,1504,2999
text,glm,GLM,0.2866598977921786,1.1823171505712278e-40,0.08217203267659778,0.04523227383863081,3.418548774627583,-1.233061028351754,1636,2081
text,gpt,GPT,0.8811283971808419,0.0,0.328,0.2131039046988749,1.4426666666666668,0.148,1511,3000
text,human,Human,0.9494586727480486,0.0,0.6913333333333334,0.42138364779874216,0.598,-0.048,318,3000
text,kimi,Kimi,0.8313527239816706,0.0,0.24966666666666668,0.16550241805480925,2.022,-1.1366666666666667,1861,3000
text,qwen3b,Qwen3B,0.7177627338209004,0.0,0.24666666666666667,0.2445360824742268,1.2533333333333334,-0.20133333333333334,2425,3000
text,qwen,Qwen,0.9665050324470528,0.0,0.6416666666666667,0.4629762760603882,0.565,0.09366666666666666,1391,3000
text,vla0,vla0,0.7482401365004268,0.0,0.19866666666666666,0.19700124947938358,1.2893333333333334,-0.34933333333333333,2401,3000
