group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq5,human,Human,Task1,task1,Object Categorization,0.9776666666666667,2933,67,3000,0.0026978111841241188,0.9717362601880556,0.9823753014868345,0.2,0.9720833333333334,0.9646703252350693,0.977969126858543,0.0
mcq5,human,Human,Task2,task9,Cluster Count,0.9116666666666666,2735,265,3000,0.00518107310491934,0.9009781331285008,0.9213022427741434,0.2,0.8895833333333333,0.876222666410626,0.9016278034676791,0.0
mcq5,human,Human,Task3,task3,Column Count,0.936,2808,192,3000,0.004468556814006059,0.9266718894182846,0.9442129135620059,0.2,0.9199999999999999,0.9083398617728558,0.9302661419525073,0.0
mcq5,human,Human,Task4,task4,Layer Count,0.994,2982,18,3000,0.001409964538561166,0.990535122523481,0.9962013285596921,0.2,0.9925,0.9881689031543511,0.995251660699615,0.0
mcq5,human,Human,Task5,task5,Visible Object Count,0.9943333333333333,2983,17,3000,0.0013704689654221284,0.9909432916690223,0.9964589734837076,0.2,0.9929166666666667,0.9886791145862778,0.9955737168546344,0.0
mcq5,human,Human,Task6,task2,Top Layer,0.9956666666666667,2987,13,3000,0.0011992435887613385,0.9925997167063182,0.9974658047246389,0.2,0.9945833333333334,0.9907496458828976,0.9968322559057985,0.0
mcq5,human,Human,Task7,task6,Direct Support,0.976,2928,72,3000,0.0027942798714516784,0.9698842107177288,0.9808982806093771,0.2,0.97,0.962355263397161,0.9761228507617215,0.0
mcq5,human,Human,Task8,task7,Support Column,0.9766666666666667,2930,70,3000,0.0027561379312901397,0.9706241754329286,0.9814899440332912,0.2,0.9708333333333332,0.9632802192911607,0.976862430041614,0.0
mcq5,human,Human,Task9,task8,Hidden Object Count,0.9146666666666666,2744,256,3000,0.005100704381277668,0.9041313010167167,0.9241414015119387,0.2,0.8933333333333332,0.8801641262708959,0.9051767518899234,0.0
mcq5,human,Human,Target1,main,Object Counting,0.8616666666666667,2585,415,3000,0.0063033647687094395,0.8488487797086425,0.8735594857604824,0.2,0.8270833333333333,0.811060974635803,0.8419493572006028,0.0
mcq5,human,Human,Target2a,task10,Mental Rotation 90,0.9646666666666667,2894,106,3000,0.0033707016524204022,0.9574433671989958,0.9707014457631792,0.2,0.9558333333333332,0.9468042089987446,0.9633768072039739,0.0
mcq5,human,Human,Target2b,task11,Mental Rotation 180,0.9706666666666667,2912,88,3000,0.003080740651687993,0.9640003965255259,0.9761290696886713,0.2,0.9633333333333333,0.9550004956569075,0.9701613371108392,0.0
mcq5,gpt,GPT,Task1,task1,Object Categorization,0.41333333333333333,1240,1760,3000,0.008990529997148645,0.39583365495886547,0.4310546869563674,0.2,0.2666666666666666,0.2447920686985818,0.2888183586954592,3.1194406875720295e-156
mcq5,gpt,GPT,Task2,task9,Cluster Count,0.351,1053,1947,3000,0.008713954326251659,0.3341210661550782,0.36826004475303364,0.2,0.18874999999999995,0.16765133269384772,0.21032505594129203,1.2708857143122234e-82
mcq5,gpt,GPT,Task3,task3,Column Count,0.23766666666666666,713,2287,3000,0.007771340987290465,0.22277638161808755,0.2532279456407134,0.2,0.04708333333333332,0.028470477022609422,0.06653493205089171,2.46888134520945e-07
mcq5,gpt,GPT,Task4,task4,Layer Count,0.316,948,2052,3000,0.008488109330115864,0.2996075990223339,0.33286303458231425,0.2,0.145,0.12450949877791738,0.1660787932278928,6.462681375926544e-51
mcq5,gpt,GPT,Task5,task5,Visible Object Count,0.3923333333333333,1177,1823,3000,0.008914555305582904,0.3750091328146488,0.40993292271850584,0.2,0.2404166666666666,0.218761416018311,0.2624161533981323,4.753237420780004e-129
mcq5,gpt,GPT,Task6,task2,Top Layer,0.22233333333333333,667,2333,3000,0.007591688925446086,0.20781400813102527,0.23756287192816297,0.2,0.027916666666666645,0.009767510163781572,0.0469535899102037,0.0013508903614794386
mcq5,gpt,GPT,Task7,task6,Direct Support,0.421,1263,1737,3000,0.009014044597182776,0.40344451736021597,0.4387575481548232,0.2,0.27624999999999994,0.25430564670026995,0.298446935193529,9.521584901821072e-167
mcq5,gpt,GPT,Task8,task7,Support Column,0.43733333333333335,1312,1688,3000,0.009056726577317894,0.41967346692312785,0.45515348800019445,0.2,0.29666666666666663,0.27459183365390977,0.31894186000024305,3.405481471379714e-190
mcq5,gpt,GPT,Task9,task8,Hidden Object Count,0.3006666666666667,902,2098,3000,0.008371901859239675,0.28452118017133043,0.3173220062337052,0.2,0.12583333333333335,0.10565147521416303,0.1466525077921315,2.56242953830397e-39
mcq5,gpt,GPT,Target1,main,Object Counting,0.207,621,2379,3000,0.007397094024006995,0.19288084135525685,0.2218685915043187,0.2,0.008749999999999973,-0.008898948305928953,0.027335739380398363,0.17456420589588112
mcq5,gpt,GPT,Target2a,task10,Mental Rotation 90,0.22266666666666668,668,2332,3000,0.007595749298614812,0.20813897435630146,0.23790371977244362,0.2,0.028333333333333335,0.010173717945376817,0.047379649715554514,0.0011663519452390974
mcq5,gpt,GPT,Target2b,task11,Mental Rotation 180,0.20733333333333334,622,2378,3000,0.007401491341214558,0.19320514904709635,0.22221009788203605,0.2,0.009166666666666663,-0.00849356369112958,0.02776262235254505,0.16316497769286278
mcq5,kimi,Kimi,Task1,task1,Object Categorization,0.5593333333333333,1678,1322,3000,0.00906420718275194,0.541502807924594,0.5770120964565157,0.2,0.44916666666666666,0.4268785099057425,0.4712651205706446,0.0
mcq5,kimi,Kimi,Task2,task9,Cluster Count,0.34833333333333333,1045,1955,3000,0.008698605677965907,0.33148783362755635,0.36556676472410116,0.2,0.18541666666666665,0.16435979203444542,0.20695845590512643,5.886874665814049e-80
mcq5,kimi,Kimi,Task3,task3,Column Count,0.4,1200,1800,3000,0.008944271909999158,0.3826078634450862,0.4176479156878749,0.2,0.25,0.22825982930635771,0.2720598946098436,1.07059285644304e-138
mcq5,kimi,Kimi,Task4,task4,Layer Count,0.5536666666666666,1661,1339,3000,0.00907597357291747,0.5358203706264356,0.5713756945722087,0.2,0.4420833333333333,0.4197754632830445,0.46421961821526087,0.0
mcq5,kimi,Kimi,Task5,task5,Visible Object Count,0.466,1398,1602,3000,0.009107579261252685,0.4482039924504665,0.48388297245474043,0.2,0.3325,0.3102549905630831,0.3548537155684255,9.467026679949977e-235
