group,model,display_name,visible_correct,hidden_correct,cell,main_accuracy,main_correct,main_incorrect,n,share_of_scenes,overall_main_accuracy,overall_main_correct,overall_n
mcq345,claude3CQ,Claude 3CQ,1,1,V+ H+,0.5117565698478561,370,353,723,0.241,0.49166666666666664,1475,3000
mcq345,claude3CQ,Claude 3CQ,1,0,V+ H-,0.4756201881950385,556,613,1169,0.38966666666666666,0.49166666666666664,1475,3000
mcq345,claude3CQ,Claude 3CQ,0,1,V- H+,0.528604118993135,231,206,437,0.14566666666666667,0.49166666666666664,1475,3000
mcq345,claude3CQ,Claude 3CQ,0,0,V- H-,0.47391952309985097,318,353,671,0.22366666666666668,0.49166666666666664,1475,3000
mcq345,claude4CQ,Claude 4CQ,1,1,V+ H+,0.4457831325301205,259,322,581,0.19366666666666665,0.38333333333333336,1150,3000
mcq345,claude4CQ,Claude 4CQ,1,0,V+ H-,0.3695652173913043,425,725,1150,0.38333333333333336,0.38333333333333336,1150,3000
mcq345,claude4CQ,Claude 4CQ,0,1,V- H+,0.424390243902439,174,236,410,0.13666666666666666,0.38333333333333336,1150,3000
mcq345,claude4CQ,Claude 4CQ,0,0,V- H-,0.33993015133876603,292,567,859,0.28633333333333333,0.38333333333333336,1150,3000
mcq345,claude,Claude,1,1,V+ H+,0.18200836820083682,87,391,478,0.15933333333333333,0.2,600,3000
mcq345,claude,Claude,1,0,V+ H-,0.21929026387625114,241,858,1099,0.36633333333333334,0.2,600,3000
mcq345,claude,Claude,0,1,V- H+,0.15594059405940594,63,341,404,0.13466666666666666,0.2,600,3000
mcq345,claude,Claude,0,0,V- H-,0.20510304219823355,209,810,1019,0.3396666666666667,0.2,600,3000
mcq345,gemini3CQ,Gemini 3CQ,1,1,V+ H+,0.47629310344827586,442,486,928,0.30933333333333335,0.4266666666666667,1280,3000
mcq345,gemini3CQ,Gemini 3CQ,1,0,V+ H-,0.42264914054600605,418,571,989,0.32966666666666666,0.4266666666666667,1280,3000
mcq345,gemini3CQ,Gemini 3CQ,0,1,V- H+,0.403921568627451,206,304,510,0.17,0.4266666666666667,1280,3000
mcq345,gemini3CQ,Gemini 3CQ,0,0,V- H-,0.37347294938917974,214,359,573,0.191,0.4266666666666667,1280,3000
mcq345,gemini4CQ,Gemini 4CQ,1,1,V+ H+,0.3996789727126806,249,374,623,0.20766666666666667,0.346,1038,3000
mcq345,gemini4CQ,Gemini 4CQ,1,0,V+ H-,0.3182308522114347,295,632,927,0.309,0.346,1038,3000
mcq345,gemini4CQ,Gemini 4CQ,0,1,V- H+,0.36952380952380953,194,331,525,0.175,0.346,1038,3000
mcq345,gemini4CQ,Gemini 4CQ,0,0,V- H-,0.32432432432432434,300,625,925,0.30833333333333335,0.346,1038,3000
mcq345,gemini,Gemini,1,1,V+ H+,0.17699115044247787,80,372,452,0.15066666666666667,0.19533333333333333,586,3000
mcq345,gemini,Gemini,1,0,V+ H-,0.21052631578947367,196,735,931,0.31033333333333335,0.19533333333333333,586,3000
mcq345,gemini,Gemini,0,1,V- H+,0.16255144032921812,79,407,486,0.162,0.19533333333333333,586,3000
mcq345,gemini,Gemini,0,0,V- H-,0.20424403183023873,231,900,1131,0.377,0.19533333333333333,586,3000
mcq345,gpt3CQ,GPT3CQ,1,1,V+ H+,0.41935483870967744,338,468,806,0.26866666666666666,0.38566666666666666,1157,3000
mcq345,gpt3CQ,GPT3CQ,1,0,V+ H-,0.40057915057915056,415,621,1036,0.3453333333333333,0.38566666666666666,1157,3000
mcq345,gpt3CQ,GPT3CQ,0,1,V- H+,0.3838383838383838,190,305,495,0.165,0.38566666666666666,1157,3000
mcq345,gpt3CQ,GPT3CQ,0,0,V- H-,0.32277526395173456,214,449,663,0.221,0.38566666666666666,1157,3000
mcq345,gpt4CQ,GPT4CQ,1,1,V+ H+,0.37639198218262804,169,280,449,0.14966666666666667,0.29433333333333334,883,3000
mcq345,gpt4CQ,GPT4CQ,1,0,V+ H-,0.2833530106257379,240,607,847,0.2823333333333333,0.29433333333333334,883,3000
