modality,bundle,r_scene,r_scene_responder,n
text,Internal Referential Chain,0.43632070857204835,0.06861410026742326,27000
text,Visible Count Hierarchy,0.5918311640439465,0.26110137618148144,27000
text,Hidden Count Hierarchy,0.49791368768053856,0.1500062727304683,27000
text,Summation Mechanism,0.5449689730121642,0.2447814215523354,27000
