group,model,display_name,factor,factor_name,bin,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high
text,human,Human,total_blocks,Number of objects,13-18,0.7745839636913767,512,149,661,0.016252715210538685,0.7411946008773571,0.8048001142547887,0.7745839636913767,0.7411946008773571,0.8048001142547887
text,human,Human,total_blocks,Number of objects,19-25,0.696113074204947,394,172,566,0.019332485253793316,0.6570041060096047,0.7325778409735569,0.696113074204947,0.6570041060096047,0.7325778409735569
text,human,Human,total_blocks,Number of objects,26+,0.6907514450867052,239,107,346,0.024847156255409456,0.640179236032403,0.7371343824738008,0.6907514450867052,0.640179236032403,0.7371343824738008
text,human,Human,num_hidden_blocks,Number of hidden objects,0,0.9117840684660962,1385,134,1519,0.007276803123498868,0.8964629205627999,0.925027640241423,0.9117840684660962,0.8964629205627999,0.925027640241423
text,human,Human,num_hidden_blocks,Number of hidden objects,1,0.7945205479452054,406,105,511,0.017874187778027285,0.7573513433945267,0.8272944971902279,0.7945205479452054,0.7573513433945267,0.8272944971902279
text,human,Human,num_hidden_blocks,Number of hidden objects,2-3,0.7192575406032483,310,121,431,0.02164500182836487,0.6750397298167421,0.7596012980885918,0.7192575406032483,0.6750397298167421,0.7596012980885918
text,human,Human,num_hidden_blocks,Number of hidden objects,4+,0.673469387755102,363,176,539,0.02019884323695484,0.6327732783658111,0.7117102689525963,0.673469387755102,0.6327732783658111,0.7117102689525963
text,human,Human,num_layers,Number of layers,1,0.9952830188679245,211,1,212,0.004705843026491345,0.9737688358156403,0.999166872592748,0.9952830188679245,0.9737688358156403,0.999166872592748
text,human,Human,num_layers,Number of layers,2,0.9106529209621993,1060,104,1164,0.008360651708904413,0.8928865058886731,0.9257176609777923,0.9106529209621993,0.8928865058886731,0.9257176609777923
text,human,Human,num_layers,Number of layers,3,0.7614942528735632,795,249,1044,0.01318962626860431,0.7347135238942039,0.7863575998328937,0.7614942528735632,0.7347135238942039,0.7863575998328937
text,human,Human,num_layers,Number of layers,4,0.6862068965517242,398,182,580,0.019267937978027908,0.6473210361282734,0.7226423237967475,0.6862068965517242,0.6473210361282734,0.7226423237967475
text,human,Human,num_columns,Number of columns,3-5,0.9830508474576272,232,4,236,0.008402450906181929,0.9572377390155249,0.9933896750777766,0.9830508474576272,0.9572377390155249,0.9933896750777766
text,human,Human,num_columns,Number of columns,6-8,0.8894230769230769,925,115,1040,0.00972455591035491,0.8689109727784127,0.9070688310538929,0.8894230769230769,0.8689109727784127,0.9070688310538929
text,human,Human,num_columns,Number of columns,9-11,0.7845394736842105,954,262,1216,0.011790289545303758,0.7605534392436052,0.8067333297926368,0.7845394736842105,0.7605534392436052,0.8067333297926368
text,human,Human,num_columns,Number of columns,12-14,0.6948818897637795,353,155,508,0.020429495093318133,0.653501145902646,0.7333372822360594,0.6948818897637795,0.653501145902646,0.7333372822360594
text,human,Human,fill_ratio,Fill ratio,Dense,0.8840236686390532,747,98,845,0.011015095716291183,0.8606750164747374,0.9038963711669614,0.8840236686390532,0.8606750164747374,0.9038963711669614
text,human,Human,fill_ratio,Fill ratio,Medium,0.8088560885608856,1096,259,1355,0.010681843634798288,0.7870578934156534,0.8289079410127305,0.8088560885608856,0.7870578934156534,0.8289079410127305
text,human,Human,fill_ratio,Fill ratio,Sparse,0.77625,621,179,800,0.01473456554754839,0.7460888975306378,0.8037706767934579,0.77625,0.7460888975306378,0.8037706767934579
text,kimi,Kimi,total_blocks,Number of objects,4-8,0.46455223880597013,249,287,536,0.021542367844843747,0.4227311948377285,0.5068777867598364,0.46455223880597013,0.4227311948377285,0.5068777867598364
text,kimi,Kimi,total_blocks,Number of objects,9-12,0.1324354657687991,118,773,891,0.01135570742428444,0.11174809239365951,0.1562787852123883,0.1324354657687991,0.11174809239365951,0.1562787852123883
text,kimi,Kimi,total_blocks,Number of objects,13-18,0.04084720121028744,27,634,661,0.007698822764357877,0.02822213234934121,0.058778440418668504,0.04084720121028744,0.02822213234934121,0.058778440418668504
text,kimi,Kimi,total_blocks,Number of objects,19-25,0.0088339222614841,5,561,566,0.003933161559969739,0.0037790023275113653,0.020511256579525256,0.0088339222614841,0.0037790023275113653,0.020511256579525256
text,kimi,Kimi,total_blocks,Number of objects,26+,0.02601156069364162,9,337,346,0.008557010343741425,0.01374378013283152,0.04868904660932835,0.02601156069364162,0.01374378013283152,0.04868904660932835
text,kimi,Kimi,num_hidden_blocks,Number of hidden objects,0,0.24489795918367346,372,1147,1519,0.011033581774522686,0.22393338211391228,0.2671496037987394,0.24489795918367346,0.22393338211391228,0.2671496037987394
text,kimi,Kimi,num_hidden_blocks,Number of hidden objects,1,0.0410958904109589,21,490,511,0.008781654311726471,0.027033847542271797,0.06200635433729659,0.0410958904109589,0.027033847542271797,0.06200635433729659
text,kimi,Kimi,num_hidden_blocks,Number of hidden objects,2-3,0.013921113689095127,6,425,431,0.00564357349289637,0.006395286295889313,0.030035450781704,0.013921113689095127,0.006395286295889313,0.030035450781704
text,kimi,Kimi,num_hidden_blocks,Number of hidden objects,4+,0.016697588126159554,9,530,539,0.005519198853717874,0.00880894480457579,0.0314267335222142,0.016697588126159554,0.00880894480457579,0.0314267335222142
text,kimi,Kimi,num_layers,Number of layers,1,0.49056603773584906,104,108,212,0.034334027922417604,0.42404059167191255,0.5574272995964992,0.49056603773584906,0.42404059167191255,0.5574272995964992
text,kimi,Kimi,num_layers,Number of layers,2,0.21305841924398625,248,916,1164,0.01200173703182727,0.19049866650124106,0.23750595330336252,0.21305841924398625,0.19049866650124106,0.23750595330336252
text,kimi,Kimi,num_layers,Number of layers,3,0.04310344827586207,45,999,1044,0.006285477165793908,0.03236802807843292,0.057189019475319486,0.04310344827586207,0.03236802807843292,0.057189019475319486
text,kimi,Kimi,num_layers,Number of layers,4,0.01896551724137931,11,569,580,0.005663833598329184,0.010622315734696667,0.033639004458999706,0.01896551724137931,0.010622315734696667,0.033639004458999706
text,kimi,Kimi,num_columns,Number of columns,3-5,0.6271186440677966,148,88,236,0.03147778678245795,0.5638483301919794,0.686316778779942,0.6271186440677966,0.5638483301919794,0.686316778779942
text,kimi,Kimi,num_columns,Number of columns,6-8,0.17596153846153847,183,857,1040,0.011807717303811024,0.15402281970281376,0.20028534352808267,0.17596153846153847,0.15402281970281376,0.20028534352808267
text,kimi,Kimi,num_columns,Number of columns,9-11,0.05592105263157895,68,1148,1216,0.006589083906765092,0.04434970003249371,0.07028944655834235,0.05592105263157895,0.04434970003249371,0.07028944655834235
text,kimi,Kimi,num_columns,Number of columns,12-14,0.017716535433070866,9,499,508,0.0058529654314014475,0.009348071180968788,0.03332450564748751,0.017716535433070866,0.009348071180968788,0.03332450564748751
text,kimi,Kimi,fill_ratio,Fill ratio,Dense,0.19053254437869824,161,684,845,0.013510017931534647,0.16547635553522444,0.2183898451787839,0.19053254437869824,0.16547635553522444,0.2183898451787839
text,kimi,Kimi,fill_ratio,Fill ratio,Medium,0.14243542435424356,193,1162,1355,0.009494514798010788,0.1248359004404412,0.16205669984497836,0.14243542435424356,0.1248359004404412,0.16205669984497836
text,kimi,Kimi,fill_ratio,Fill ratio,Sparse,0.0675,54,746,800,0.008870157129386155,0.05210029619444108,0.0870335829180607,0.0675,0.05210029619444108,0.0870335829180607
text,qwen3b,Qwen3B,total_blocks,Number of objects,4-8,0.11194029850746269,60,476,536,0.013618582843016187,0.08796154142376036,0.14144204659168716,0.11194029850746269,0.08796154142376036,0.14144204659168716
text,qwen3b,Qwen3B,total_blocks,Number of objects,9-12,0.001122334455667789,1,890,891,0.001121704461536944,0.00019814197363410366,0.006329940761902555,0.001122334455667789,0.00019814197363410366,0.006329940761902555
text,qwen3b,Qwen3B,total_blocks,Number of objects,13-18,0.0045385779122541605,3,658,661,0.0026143960875997965,0.0015446732254068953,0.013258251260666178,0.0045385779122541605,0.0015446732254068953,0.013258251260666178
text,qwen3b,Qwen3B,total_blocks,Number of objects,19-25,0.0,0,566,566,0.0,0.0,0.0067415225564437554,0.0,0.0,0.0067415225564437554
text,qwen3b,Qwen3B,total_blocks,Number of objects,26+,0.0,0,346,346,0.0,0.0,0.010980969673132068,0.0,0.0,0.010980969673132068
text,qwen3b,Qwen3B,num_hidden_blocks,Number of hidden objects,0,0.04213298222514812,64,1455,1519,0.005154479572843612,0.03313209710438142,0.05344394599819734,0.04213298222514812,0.03313209710438142,0.05344394599819734
text,qwen3b,Qwen3B,num_hidden_blocks,Number of hidden objects,1,0.0,0,511,511,0.0,0.0,0.007461712495649147,0.0,0.0,0.007461712495649147
text,qwen3b,Qwen3B,num_hidden_blocks,Number of hidden objects,2-3,0.0,0,431,431,0.0,0.0,0.008834481337572118,0.0,0.0,0.008834481337572118
text,qwen3b,Qwen3B,num_hidden_blocks,Number of hidden objects,4+,0.0,0,539,539,0.0,0.0,0.00707683419988446,0.0,0.0,0.00707683419988446
text,qwen3b,Qwen3B,num_layers,Number of layers,1,0.08962264150943396,19,193,212,0.019617861475194773,0.058125681008645534,0.13572758916726124,0.08962264150943396,0.058125681008645534,0.13572758916726124
text,qwen3b,Qwen3B,num_layers,Number of layers,2,0.036941580756013746,43,1121,1164,0.005528503178488173,0.027540064215517995,0.04938954678652201,0.036941580756013746,0.027540064215517995,0.04938954678652201
text,qwen3b,Qwen3B,num_layers,Number of layers,3,0.0019157088122605363,2,1042,1044,0.001353312550094918,0.0005255027512541823,0.006958071101893086,0.0019157088122605363,0.0005255027512541823,0.006958071101893086
text,qwen3b,Qwen3B,num_layers,Number of layers,4,0.0,0,580,580,0.0,0.0,0.006579866867999813,0.0,0.0,0.006579866867999813
text,qwen3b,Qwen3B,num_columns,Number of columns,3-5,0.13983050847457626,33,203,236,0.02257547955215616,0.10132979153004479,0.18986906638284434,0.13983050847457626,0.10132979153004479,0.18986906638284434
text,qwen3b,Qwen3B,num_columns,Number of columns,6-8,0.025961538461538463,27,1013,1040,0.004931018090213034,0.01790264715929082,0.03750959163249522,0.025961538461538463,0.01790264715929082,0.03750959163249522
text,qwen3b,Qwen3B,num_columns,Number of columns,9-11,0.0008223684210526315,1,1215,1216,0.0008220302065941351,0.00014517923788185793,0.0046436392447801525,0.0008223684210526315,0.00014517923788185793,0.0046436392447801525
text,qwen3b,Qwen3B,num_columns,Number of columns,12-14,0.005905511811023622,3,505,508,0.0033994663607601603,0.002010361093157253,0.01721746251477145,0.005905511811023622,0.002010361093157253,0.01721746251477145
text,qwen3b,Qwen3B,fill_ratio,Fill ratio,Dense,0.03550295857988166,30,815,845,0.0063658202046598415,0.02498014404341313,0.050230118978568813,0.03550295857988166,0.02498014404341313,0.050230118978568813
text,qwen3b,Qwen3B,fill_ratio,Fill ratio,Medium,0.023616236162361623,32,1323,1355,0.004125209112613989,0.01677749865337994,0.03314855600965068,0.023616236162361623,0.01677749865337994,0.03314855600965068
text,qwen3b,Qwen3B,fill_ratio,Fill ratio,Sparse,0.0025,2,798,800,0.001765555861478192,0.0006858437481711832,0.009069311993955127,0.0025,0.0006858437481711832,0.009069311993955127
text,qwen,Qwen,total_blocks,Number of objects,4-8,0.5746268656716418,308,228,536,0.021354804368734347,0.5323862022147394,0.6158054154745976,0.5746268656716418,0.5323862022147394,0.6158054154745976
text,qwen,Qwen,total_blocks,Number of objects,9-12,0.23007856341189675,205,686,891,0.014100107778329575,0.20363618856564955,0.2588385108671887,0.23007856341189675,0.20363618856564955,0.2588385108671887
text,qwen,Qwen,total_blocks,Number of objects,13-18,0.02723146747352496,18,643,661,0.006330522399205545,0.017293301304237643,0.04263315335804582,0.02723146747352496,0.017293301304237643,0.04263315335804582
text,qwen,Qwen,total_blocks,Number of objects,19-25,0.0017667844522968198,1,565,566,0.0017652229986534738,0.0003119409252841654,0.009939328901278164,0.0017667844522968198,0.0003119409252841654,0.009939328901278164
text,qwen,Qwen,total_blocks,Number of objects,26+,0.0,0,346,346,0.0,0.0,0.010980969673132068,0.0,0.0,0.010980969673132068
text,qwen,Qwen,num_hidden_blocks,Number of hidden objects,0,0.3324555628703094,505,1014,1519,0.012087263945787118,0.3092133082744801,0.35654313021524864,0.3324555628703094,0.3092133082744801,0.35654313021524864
