group,model,display_name,factor,factor_name,bin,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high
text,claude,Claude,total_blocks,Number of objects,4-8,0.3283582089552239,176,360,536,0.02028431750159437,0.2899452642996843,0.3692140150148406,0.3283582089552239,0.2899452642996843,0.3692140150148406
text,claude,Claude,total_blocks,Number of objects,9-12,0.20987654320987653,187,704,891,0.013642393646267457,0.18441136925992108,0.2378327463466846,0.20987654320987653,0.18441136925992108,0.2378327463466846
text,claude,Claude,total_blocks,Number of objects,13-18,0.06354009077155824,42,619,661,0.009487849354842336,0.047348950178034324,0.08477515276618579,0.06354009077155824,0.047348950178034324,0.08477515276618579
text,claude,Claude,total_blocks,Number of objects,19-25,0.015901060070671377,9,557,566,0.0052580438729425295,0.008387627518188114,0.029941620469322805,0.015901060070671377,0.008387627518188114,0.029941620469322805
text,claude,Claude,total_blocks,Number of objects,26+,0.023121387283236993,8,338,346,0.008079587627070653,0.011761389490150313,0.0449545642443398,0.023121387283236993,0.011761389490150313,0.0449545642443398
text,claude,Claude,num_hidden_blocks,Number of hidden objects,0,0.23436471362738645,356,1163,1519,0.010868714868489334,0.21374847431800906,0.2563211639161973,0.23436471362738645,0.21374847431800906,0.2563211639161973
text,claude,Claude,num_hidden_blocks,Number of hidden objects,1,0.08023483365949119,41,470,511,0.012017372057506666,0.05969287980370716,0.10704112148911765,0.08023483365949119,0.05969287980370716,0.10704112148911765
text,claude,Claude,num_hidden_blocks,Number of hidden objects,2-3,0.030162412993039442,13,418,431,0.008238419677523642,0.017710147871603875,0.050916220902680824,0.030162412993039442,0.017710147871603875,0.050916220902680824
text,claude,Claude,num_hidden_blocks,Number of hidden objects,4+,0.022263450834879406,12,527,539,0.006354959437066262,0.01278051638630053,0.0385081099827913,0.022263450834879406,0.01278051638630053,0.0385081099827913
text,claude,Claude,num_layers,Number of layers,1,0.3915094339622642,83,129,212,0.03352201452670106,0.3282959277913711,0.45858482179536303,0.3915094339622642,0.3282959277913711,0.45858482179536303
text,claude,Claude,num_layers,Number of layers,2,0.218213058419244,254,910,1164,0.012106206679515714,0.1954327586182156,0.24284722729768252,0.218213058419244,0.1954327586182156,0.24284722729768252
text,claude,Claude,num_layers,Number of layers,3,0.06992337164750957,73,971,1044,0.00789260370488047,0.05597870487034624,0.08702153486054437,0.06992337164750957,0.05597870487034624,0.08702153486054437
text,claude,Claude,num_layers,Number of layers,4,0.020689655172413793,12,568,580,0.005910480659207233,0.011874116348460412,0.03581279051120838,0.020689655172413793,0.011874116348460412,0.03581279051120838
text,claude,Claude,num_columns,Number of columns,3-5,0.4364406779661017,103,133,236,0.03228318897823138,0.37468420810792563,0.5002332374061136,0.4364406779661017,0.37468420810792563,0.5002332374061136
text,claude,Claude,num_columns,Number of columns,6-8,0.20288461538461539,211,829,1040,0.012470058302283826,0.17955728459304982,0.22839886507563562,0.20288461538461539,0.17955728459304982,0.22839886507563562
text,claude,Claude,num_columns,Number of columns,9-11,0.07319078947368421,89,1127,1216,0.007468899211783188,0.05985727464051535,0.08921257180512152,0.07319078947368421,0.05985727464051535,0.08921257180512152
text,claude,Claude,num_columns,Number of columns,12-14,0.03740157480314961,19,489,508,0.00841851832557367,0.02407265500957586,0.05767451051975978,0.03740157480314961,0.02407265500957586,0.05767451051975978
text,claude,Claude,fill_ratio,Fill ratio,Dense,0.17751479289940827,150,695,845,0.013144769301951435,0.15322748229583316,0.20472104426082943,0.17751479289940827,0.15322748229583316,0.20472104426082943
text,claude,Claude,fill_ratio,Fill ratio,Medium,0.15276752767527677,207,1148,1355,0.0097734337620184,0.13459518810600757,0.17290319875527194,0.15276752767527677,0.13459518810600757,0.17290319875527194
text,claude,Claude,fill_ratio,Fill ratio,Sparse,0.08125,65,735,800,0.009659738447546083,0.0642577128804196,0.10224474232966159,0.08125,0.0642577128804196,0.10224474232966159
text,gemini,Gemini,total_blocks,Number of objects,4-8,0.42723880597014924,229,307,536,0.021366812765769367,0.3860236959145827,0.4694894768383137,0.42723880597014924,0.3860236959145827,0.4694894768383137
text,gemini,Gemini,total_blocks,Number of objects,9-12,0.17845117845117844,159,732,891,0.012827367775231097,0.15470603841146158,0.2049571690210047,0.17845117845117844,0.15470603841146158,0.2049571690210047
text,gemini,Gemini,total_blocks,Number of objects,13-18,0.0529500756429652,35,626,661,0.008710016937786903,0.038316104684902756,0.0727503508437525,0.0529500756429652,0.038316104684902756,0.0727503508437525
text,gemini,Gemini,total_blocks,Number of objects,19-25,0.026501766784452298,15,551,566,0.0067514457477698174,0.0161248979286726,0.043262833679549764,0.026501766784452298,0.0161248979286726,0.043262833679549764
text,gemini,Gemini,total_blocks,Number of objects,26+,0.02023121387283237,7,339,346,0.007568934046189129,0.009833683317329922,0.04116539740949044,0.02023121387283237,0.009833683317329922,0.04116539740949044
text,gemini,Gemini,num_hidden_blocks,Number of hidden objects,0,0.2534562211981567,385,1134,1519,0.011160926066462053,0.23222150912755338,0.2759348217738353,0.2534562211981567,0.23222150912755338,0.2759348217738353
text,gemini,Gemini,num_hidden_blocks,Number of hidden objects,1,0.07632093933463796,39,472,511,0.011745511992425876,0.056330300990797416,0.10263432036070178,0.07632093933463796,0.056330300990797416,0.10263432036070178
text,gemini,Gemini,num_hidden_blocks,Number of hidden objects,2-3,0.030162412993039442,13,418,431,0.008238419677523642,0.017710147871603875,0.050916220902680824,0.030162412993039442,0.017710147871603875,0.050916220902680824
text,gemini,Gemini,num_hidden_blocks,Number of hidden objects,4+,0.014842300556586271,8,531,539,0.00520845727816837,0.007539498444529877,0.0290118638681595,0.014842300556586271,0.007539498444529877,0.0290118638681595
text,gemini,Gemini,num_layers,Number of layers,1,0.5235849056603774,111,101,212,0.034301916458988,0.4565330469239849,0.589797224904986,0.5235849056603774,0.4565330469239849,0.589797224904986
text,gemini,Gemini,num_layers,Number of layers,2,0.20790378006872853,242,922,1164,0.011894431047765736,0.1855700928124097,0.23215916088089936,0.20790378006872853,0.1855700928124097,0.23215916088089936
text,gemini,Gemini,num_layers,Number of layers,3,0.07567049808429119,79,965,1044,0.008185146450589166,0.0611373361611184,0.09331501617915895,0.07567049808429119,0.0611373361611184,0.09331501617915895
text,gemini,Gemini,num_layers,Number of layers,4,0.022413793103448276,13,567,580,0.006146405591350636,0.01314459060929142,0.03796790291634978,0.022413793103448276,0.01314459060929142,0.03796790291634978
text,gemini,Gemini,num_columns,Number of columns,3-5,0.5932203389830508,140,96,236,0.03197655181693623,0.5295391961190714,0.6539152171270042,0.5932203389830508,0.5295391961190714,0.6539152171270042
text,gemini,Gemini,num_columns,Number of columns,6-8,0.2076923076923077,216,824,1040,0.012578836508265941,0.1841354614404578,0.23340068580640425,0.2076923076923077,0.1841354614404578,0.23340068580640425
text,gemini,Gemini,num_columns,Number of columns,9-11,0.0625,76,1140,1216,0.006941588411239364,0.05022403422939056,0.07753156944898865,0.0625,0.05022403422939056,0.07753156944898865
text,gemini,Gemini,num_columns,Number of columns,12-14,0.025590551181102362,13,495,508,0.007006138319802163,0.015015023857304919,0.043287388451503116,0.025590551181102362,0.015015023857304919,0.043287388451503116
text,gemini,Gemini,fill_ratio,Fill ratio,Dense,0.21775147928994082,184,661,845,0.0141979151964443,0.19123461027545027,0.2468230909493718,0.21775147928994082,0.19123461027545027,0.2468230909493718
text,gemini,Gemini,fill_ratio,Fill ratio,Medium,0.13800738007380073,187,1168,1355,0.009369863881897577,0.12066328673439153,0.15739826216137376,0.13800738007380073,0.12066328673439153,0.15739826216137376
text,gemini,Gemini,fill_ratio,Fill ratio,Sparse,0.0925,74,726,800,0.010243519292704046,0.07432374405820454,0.11457118250444163,0.0925,0.07432374405820454,0.11457118250444163
text,glm,GLM,total_blocks,Number of objects,4-8,0.166044776119403,89,447,536,0.01607317156350339,0.13694030328532564,0.1999022075548912,0.166044776119403,0.13694030328532564,0.1999022075548912
text,glm,GLM,total_blocks,Number of objects,9-12,0.017957351290684626,16,875,891,0.004448846913659283,0.011083071644518504,0.02897049761287857,0.017957351290684626,0.011083071644518504,0.02897049761287857
text,glm,GLM,total_blocks,Number of objects,13-18,0.0,0,661,661,0.0,0.0,0.005778218450830995,0.0,0.0,0.005778218450830995
text,glm,GLM,total_blocks,Number of objects,19-25,0.0,0,566,566,0.0,0.0,0.0067415225564437554,0.0,0.0,0.0067415225564437554
text,glm,GLM,total_blocks,Number of objects,26+,0.0,0,346,346,0.0,0.0,0.010980969673132068,0.0,0.0,0.010980969673132068
text,glm,GLM,num_hidden_blocks,Number of hidden objects,0,0.065174456879526,99,1420,1519,0.006333227788928389,0.053825478736648495,0.07871726241252947,0.065174456879526,0.053825478736648495,0.07871726241252947
text,glm,GLM,num_hidden_blocks,Number of hidden objects,1,0.009784735812133072,5,506,511,0.004354405906310033,0.0041864304656242385,0.022698731883339016,0.009784735812133072,0.0041864304656242385,0.022698731883339016
text,glm,GLM,num_hidden_blocks,Number of hidden objects,2-3,0.002320185614849188,1,430,431,0.0023174924211209866,0.0004096766714551982,0.013024180622787119,0.002320185614849188,0.0004096766714551982,0.013024180622787119
text,glm,GLM,num_hidden_blocks,Number of hidden objects,4+,0.0,0,539,539,0.0,0.0,0.00707683419988446,0.0,0.0,0.00707683419988446
text,glm,GLM,num_layers,Number of layers,1,0.19811320754716982,42,170,212,0.02737444447119118,0.1500411918346862,0.25693132875448665,0.19811320754716982,0.1500411918346862,0.25693132875448665
text,glm,GLM,num_layers,Number of layers,2,0.05154639175257732,60,1104,1164,0.006480830923473375,0.04025454273413732,0.06578860558323721,0.05154639175257732,0.04025454273413732,0.06578860558323721
text,glm,GLM,num_layers,Number of layers,3,0.0028735632183908046,3,1041,1044,0.0016566670866638138,0.000977723904775353,0.008414535383269708,0.0028735632183908046,0.000977723904775353,0.008414535383269708
text,glm,GLM,num_layers,Number of layers,4,0.0,0,580,580,0.0,0.0,0.006579866867999813,0.0,0.0,0.006579866867999813
text,glm,GLM,num_columns,Number of columns,3-5,0.2711864406779661,64,172,236,0.028939178993307738,0.21846746250884597,0.3312353413416954,0.2711864406779661,0.21846746250884597,0.3312353413416954
text,glm,GLM,num_columns,Number of columns,6-8,0.0375,39,1001,1040,0.005891139859666705,0.02755173917976056,0.05085249379964936,0.0375,0.02755173917976056,0.05085249379964936
text,glm,GLM,num_columns,Number of columns,9-11,0.001644736842105263,2,1214,1216,0.001162047762496701,0.0004511526580156227,0.005977222960589283,0.001644736842105263,0.0004511526580156227,0.005977222960589283
text,glm,GLM,num_columns,Number of columns,12-14,0.0,0,508,508,0.0,0.0,0.007505446997664902,0.0,0.0,0.007505446997664902
text,glm,GLM,fill_ratio,Fill ratio,Dense,0.06627218934911243,56,789,845,0.008557510716689625,0.051385657854923564,0.08508456226623919,0.06627218934911243,0.051385657854923564,0.08508456226623919
text,glm,GLM,fill_ratio,Fill ratio,Medium,0.03025830258302583,41,1314,1355,0.0046535101783428895,0.022382029835585536,0.040790601911926454,0.03025830258302583,0.022382029835585536,0.040790601911926454
text,glm,GLM,fill_ratio,Fill ratio,Sparse,0.01,8,792,800,0.0035178118198675723,0.0050756268399147295,0.0196078431372549,0.01,0.0050756268399147295,0.0196078431372549
text,gpt,GPT,total_blocks,Number of objects,4-8,0.26119402985074625,140,396,536,0.018974241603877128,0.22579751248222962,0.2999893109118919,0.26119402985074625,0.22579751248222962,0.2999893109118919
text,gpt,GPT,total_blocks,Number of objects,9-12,0.10213243546576879,91,800,891,0.01014493184196492,0.08392577735563804,0.12375522451106107,0.10213243546576879,0.08392577735563804,0.12375522451106107
text,gpt,GPT,total_blocks,Number of objects,13-18,0.015128593040847202,10,651,661,0.004747755057276072,0.008237850098875236,0.02762272180276269,0.015128593040847202,0.008237850098875236,0.02762272180276269
text,gpt,GPT,total_blocks,Number of objects,19-25,0.0088339222614841,5,561,566,0.003933161559969739,0.0037790023275113653,0.020511256579525256,0.0088339222614841,0.0037790023275113653,0.020511256579525256
text,gpt,GPT,total_blocks,Number of objects,26+,0.011560693641618497,4,342,346,0.0057468372815226015,0.004504586933130127,0.029343874770680962,0.011560693641618497,0.004504586933130127,0.029343874770680962
text,gpt,GPT,num_hidden_blocks,Number of hidden objects,0,0.15075707702435814,229,1290,1519,0.009180702947875844,0.13364504639436256,0.1696311446421839,0.15075707702435814,0.13364504639436256,0.1696311446421839
text,gpt,GPT,num_hidden_blocks,Number of hidden objects,1,0.025440313111545987,13,498,511,0.006965543316876352,0.014926523744100409,0.04303615837016541,0.025440313111545987,0.014926523744100409,0.04303615837016541
text,gpt,GPT,num_hidden_blocks,Number of hidden objects,2-3,0.0069605568445475635,3,428,431,0.004004668821945242,0.0023699409183593183,0.020262668289223393,0.0069605568445475635,0.0023699409183593183,0.020262668289223393
text,gpt,GPT,num_hidden_blocks,Number of hidden objects,4+,0.00927643784786642,5,534,539,0.004129262412117711,0.003968605715910609,0.021529808554476927,0.00927643784786642,0.003968605715910609,0.021529808554476927
text,gpt,GPT,num_layers,Number of layers,1,0.35377358490566035,75,137,212,0.0328387882944029,0.29253441664263624,0.42021789801774434,0.35377358490566035,0.29253441664263624,0.42021789801774434
text,gpt,GPT,num_layers,Number of layers,2,0.1211340206185567,141,1023,1164,0.00956352291284898,0.10362519256956365,0.14113539825028726,0.1211340206185567,0.10362519256956365,0.14113539825028726
text,gpt,GPT,num_layers,Number of layers,3,0.02681992337164751,28,1016,1044,0.005000058915551982,0.018619930625972315,0.038489464534517584,0.02681992337164751,0.018619930625972315,0.038489464534517584
text,gpt,GPT,num_layers,Number of layers,4,0.010344827586206896,6,574,580,0.004201356950011661,0.004749445541994688,0.022383941321839608,0.010344827586206896,0.004749445541994688,0.022383941321839608
text,gpt,GPT,num_columns,Number of columns,3-5,0.4025423728813559,95,141,236,0.03192297475866538,0.3420178315998763,0.4661889181883172,0.4025423728813559,0.3420178315998763,0.4661889181883172
text,gpt,GPT,num_columns,Number of columns,6-8,0.10288461538461538,107,933,1040,0.00942068975619493,0.0858577017363671,0.12283449830624475,0.10288461538461538,0.0858577017363671,0.12283449830624475
text,gpt,GPT,num_columns,Number of columns,9-11,0.03700657894736842,45,1171,1216,0.005413577295090398,0.027770904729680513,0.04915842773446892,0.03700657894736842,0.027770904729680513,0.04915842773446892
text,gpt,GPT,num_columns,Number of columns,12-14,0.005905511811023622,3,505,508,0.0033994663607601603,0.002010361093157253,0.01721746251477145,0.005905511811023622,0.002010361093157253,0.01721746251477145
text,gpt,GPT,fill_ratio,Fill ratio,Dense,0.14319526627218934,121,724,845,0.012049718599647123,0.1211908469233056,0.16842926594580918,0.14319526627218934,0.1211908469233056,0.16842926594580918
text,gpt,GPT,fill_ratio,Fill ratio,Medium,0.06789667896678966,92,1263,1355,0.006834183666341707,0.05568656486807417,0.08255000369149891,0.06789667896678966,0.05568656486807417,0.08255000369149891
text,gpt,GPT,fill_ratio,Fill ratio,Sparse,0.04625,37,763,800,0.007425541857332702,0.03373820870599884,0.06309878007388019,0.04625,0.03373820870599884,0.06309878007388019
text,human,Human,total_blocks,Number of objects,4-8,0.9552238805970149,512,24,536,0.00893291942782955,0.9342401133847533,0.9697287545202025,0.9552238805970149,0.9342401133847533,0.9697287545202025
text,human,Human,total_blocks,Number of objects,9-12,0.9057239057239057,807,84,891,0.009789485204330864,0.884756886851899,0.9232073383249367,0.9057239057239057,0.884756886851899,0.9232073383249367
