group,model,display_name,task,source_task,task_name,raw_label,reason,n_error,n_total,raw_proportion,chance_level,chance_adjusted_preference,above_chance_p,displayed_in_figure
mcq5,qwen,Qwen,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,597,3000,0.199,0.2,-0.0012500000000000011,0.5617060110518274,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,565,3000,0.18833333333333332,0.2,-0.014583333333333358,0.9482412304088387,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,545,3000,0.18166666666666667,0.2,-0.022916666666666675,0.9947540477532641,False
mcq5,glm,GLM,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,540,3000,0.18,0.2,-0.025000000000000022,0.9973914539353594,False
mcq5,claude,Claude,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,210,3000,0.07,0.2,-0.1625,1.0,False
mcq5,claude,Claude,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,4,3000,0.0013333333333333333,0.2,-0.24833333333333335,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,280,3000,0.09333333333333334,0.2,-0.13333333333333333,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,32,3000,0.010666666666666666,0.2,-0.2366666666666667,1.0,False
mcq5,glm,GLM,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,62,3000,0.020666666666666667,0.2,-0.22416666666666668,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,236,3000,0.07866666666666666,0.2,-0.15166666666666667,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,17,3000,0.005666666666666667,0.2,-0.2429166666666667,1.0,False
mcq5,human,Human,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,6,3000,0.002,0.2,-0.2475,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,drop_one_column_highlight,Drop One Column Highlight,110,3000,0.03666666666666667,0.2,-0.20416666666666666,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,6,3000,0.002,0.2,-0.2475,1.0,False
mcq5,qwen,Qwen,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,33,3000,0.011,0.2,-0.23625,1.0,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,47,3000,0.015666666666666666,0.2,-0.2304166666666667,1.0,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,drop_one_column_highlight_fallback_unique_0,Drop One Column Highlight,51,3000,0.017,0.2,-0.22874999999999998,1.0,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,omit_one_block,Omit One Block,551,3000,0.18366666666666667,0.2,-0.020416666666666673,0.9886647028624174,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,omit_one_block,Omit One Block,542,3000,0.18066666666666667,0.2,-0.024166666666666677,0.9965288067715049,False
mcq5,glm,GLM,Task1,task1,Object Categorization,omit_one_block,Omit One Block,520,3000,0.17333333333333334,0.2,-0.03333333333333334,0.9999063096317262,False
mcq5,claude,Claude,Task1,task1,Object Categorization,omit_one_block,Omit One Block,260,3000,0.08666666666666667,0.2,-0.14166666666666666,1.0,False
mcq5,claude,Claude,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,6,3000,0.002,0.2,-0.2475,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,omit_one_block,Omit One Block,277,3000,0.09233333333333334,0.2,-0.13458333333333333,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,25,3000,0.008333333333333333,0.2,-0.23958333333333334,1.0,False
mcq5,glm,GLM,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,55,3000,0.018333333333333333,0.2,-0.22708333333333333,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,omit_one_block,Omit One Block,293,3000,0.09766666666666667,0.2,-0.12791666666666668,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,6,3000,0.002,0.2,-0.2475,1.0,False
mcq5,human,Human,Task1,task1,Object Categorization,omit_one_block,Omit One Block,17,3000,0.005666666666666667,0.2,-0.2429166666666667,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,omit_one_block,Omit One Block,130,3000,0.043333333333333335,0.2,-0.19583333333333333,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,4,3000,0.0013333333333333333,0.2,-0.24833333333333335,1.0,False
mcq5,qwen,Qwen,Task1,task1,Object Categorization,omit_one_block,Omit One Block,356,3000,0.11866666666666667,0.2,-0.10166666666666667,1.0,False
mcq5,qwen,Qwen,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,35,3000,0.011666666666666667,0.2,-0.2354166666666667,1.0,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,27,3000,0.009,0.2,-0.23875,1.0,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,omit_one_block_fallback_unique_0,Omit One Block,54,3000,0.018,0.2,-0.2275,1.0,False
mcq5,qwen,Qwen,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,590,3000,0.19666666666666666,0.2,-0.0041666666666666935,0.6828650473273535,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,574,3000,0.19133333333333333,0.2,-0.010833333333333355,0.8871961863743801,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,569,3000,0.18966666666666668,0.2,-0.012916666666666667,0.9254636460251149,False
mcq5,glm,GLM,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,555,3000,0.185,0.2,-0.018750000000000017,0.9818050676732466,False
mcq5,claude,Claude,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,184,3000,0.06133333333333333,0.2,-0.17333333333333334,1.0,False
mcq5,claude,Claude,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,10,3000,0.0033333333333333335,0.2,-0.24583333333333335,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,241,3000,0.08033333333333334,0.2,-0.14958333333333332,1.0,False
mcq5,gemini,Gemini,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,18,3000,0.006,0.2,-0.2425,1.0,False
mcq5,glm,GLM,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,52,3000,0.017333333333333333,0.2,-0.22833333333333333,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,223,3000,0.07433333333333333,0.2,-0.15708333333333332,1.0,False
mcq5,gpt,GPT,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,11,3000,0.0036666666666666666,0.2,-0.24541666666666664,1.0,False
mcq5,human,Human,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,2,3000,0.0006666666666666666,0.2,-0.24916666666666665,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,omit_two_blocks,Omit Two Blocks,97,3000,0.03233333333333333,0.2,-0.20958333333333334,1.0,False
mcq5,kimi,Kimi,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,9,3000,0.003,0.2,-0.24625,1.0,False
mcq5,qwen,Qwen,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,48,3000,0.016,0.2,-0.22999999999999998,1.0,False
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,23,3000,0.007666666666666666,0.2,-0.2404166666666667,1.0,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,omit_two_blocks_fallback_unique_0,Omit Two Blocks,49,3000,0.01633333333333333,0.2,-0.22958333333333333,1.0,False
mcq5,claude,Claude,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,1034,3000,0.3446666666666667,0.2,0.18083333333333332,2.3381272316039935e-76,True
mcq5,gemini,Gemini,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,1008,3000,0.336,0.2,0.17,3.694858763494427e-68,True
mcq5,gpt,GPT,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,974,3000,0.32466666666666666,0.2,0.1558333333333333,4.253268124927441e-58,True
mcq5,kimi,Kimi,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,966,3000,0.322,0.2,0.1525,7.692803583691135e-56,True
mcq5,qwen,Qwen,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,656,3000,0.21866666666666668,0.2,0.02333333333333333,0.006043234067536448,True
mcq5,qwen3b,Qwen3B,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,619,3000,0.20633333333333334,0.2,0.007916666666666662,0.19885357911392784,False
mcq5,glm,GLM,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,596,3000,0.19866666666666666,0.2,-0.0016666666666666913,0.5796560860914981,False
mcq5,vla0,vla0,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,578,3000,0.19266666666666668,0.2,-0.009166666666666663,0.8478523676628156,False
mcq5,human,Human,Task1,task1,Object Categorization,phantom_block_above_top,Phantom Block Above Top,42,3000,0.014,0.2,-0.23249999999999998,1.0,False
mcq5,claude,Claude,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,40,3000,0.013333333333333334,0.2,-0.23333333333333334,1.0,False
mcq5,gemini,Gemini,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,44,3000,0.014666666666666666,0.2,-0.2316666666666667,1.0,False
mcq5,glm,GLM,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,206,3000,0.06866666666666667,0.2,-0.16416666666666668,1.0,False
mcq5,gpt,GPT,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,80,3000,0.02666666666666667,0.2,-0.21666666666666667,1.0,False
mcq5,kimi,Kimi,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,254,3000,0.08466666666666667,0.2,-0.14416666666666667,1.0,False
mcq5,qwen,Qwen,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,315,3000,0.105,0.2,-0.11875000000000001,1.0,False
mcq5,qwen3b,Qwen3B,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,171,3000,0.057,0.2,-0.17875000000000002,1.0,False
mcq5,vla0,vla0,Task2,task9,Cluster Count,collapse_to_one_cluster_color_fallback_unique_0,Collapse To One Cluster Color,178,3000,0.059333333333333335,0.2,-0.1758333333333333,1.0,False
mcq5,claude,Claude,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,281,3000,0.09366666666666666,0.2,-0.13291666666666668,1.0,False
mcq5,gemini,Gemini,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,101,3000,0.033666666666666664,0.2,-0.20791666666666667,1.0,False
mcq5,glm,GLM,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,153,3000,0.051,0.2,-0.18625000000000003,1.0,False
mcq5,gpt,GPT,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,80,3000,0.02666666666666667,0.2,-0.21666666666666667,1.0,False
mcq5,kimi,Kimi,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,249,3000,0.083,0.2,-0.14625,1.0,False
mcq5,qwen,Qwen,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,150,3000,0.05,0.2,-0.18750000000000003,1.0,False
mcq5,qwen3b,Qwen3B,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,130,3000,0.043333333333333335,0.2,-0.19583333333333333,1.0,False
mcq5,vla0,vla0,Task2,task9,Cluster Count,fake_split_into_two_colors,Fake Split Into Two Colors,131,3000,0.043666666666666666,0.2,-0.19541666666666668,1.0,False
mcq5,claude,Claude,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,179,3000,0.059666666666666666,0.2,-0.17541666666666667,1.0,False
mcq5,claude,Claude,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,3,3000,0.001,0.2,-0.24875,1.0,False
mcq5,gemini,Gemini,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,109,3000,0.036333333333333336,0.2,-0.20458333333333334,1.0,False
mcq5,gemini,Gemini,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,8,3000,0.0026666666666666666,0.2,-0.24666666666666665,1.0,False
mcq5,glm,GLM,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,255,3000,0.085,0.2,-0.14375,1.0,False
mcq5,glm,GLM,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,2,3000,0.0006666666666666666,0.2,-0.24916666666666665,1.0,False
mcq5,gpt,GPT,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,222,3000,0.074,0.2,-0.1575,1.0,False
mcq5,gpt,GPT,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,2,3000,0.0006666666666666666,0.2,-0.24916666666666665,1.0,False
mcq5,human,Human,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,2,3000,0.0006666666666666666,0.2,-0.24916666666666665,1.0,False
mcq5,kimi,Kimi,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,166,3000,0.05533333333333333,0.2,-0.18083333333333332,1.0,False
mcq5,kimi,Kimi,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,4,3000,0.0013333333333333333,0.2,-0.24833333333333335,1.0,False
mcq5,qwen,Qwen,Task2,task9,Cluster Count,fake_split_largest_cluster,Fake Split Largest Cluster,237,3000,0.079,0.2,-0.15125,1.0,False
mcq5,qwen,Qwen,Task2,task9,Cluster Count,fake_split_largest_cluster_fallback_unique_0,Fake Split Largest Cluster,5,3000,0.0016666666666666668,0.2,-0.24791666666666665,1.0,False
