group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
image,gemini-image,Gemini Image,Task1,task1,Object Categorization,0.9926666666666667,2978,22,3000,0.0015577286408481126,0.9889210269379534,0.9951521678669926,,0.9926666666666667,0.9889210269379534,0.9951521678669926,
image,gemini-image,Gemini Image,Task2,task9,Cluster Count,0.4706666666666667,1412,1588,3000,0.009112986256903854,0.45285411357682603,0.488554248302176,,0.4706666666666667,0.45285411357682603,0.488554248302176,
image,gemini-image,Gemini Image,Task3,task3,Column Count,0.29333333333333333,880,2120,3000,0.00831241819787096,0.2773135751069397,0.3098817017678463,,0.29333333333333333,0.2773135751069397,0.3098817017678463,
image,gemini-image,Gemini Image,Task4,task4,Layer Count,0.241,723,2277,3000,0.007808520986717011,0.22603273627126402,0.2566297316831048,,0.241,0.22603273627126402,0.2566297316831048,
image,gemini-image,Gemini Image,Task5,task5,Visible Object Count,0.361,1083,1917,3000,0.008768865377002888,0.3440008641576645,0.3783546688371513,,0.361,0.3440008641576645,0.3783546688371513,
image,gemini-image,Gemini Image,Task6,task2,Top Layer,0.3426666666666667,1028,1972,3000,0.00866499129105587,0.3258941674463518,0.35984159172284014,,0.3426666666666667,0.3258941674463518,0.35984159172284014,
image,gemini-image,Gemini Image,Task7,task6,Direct Support,0.31233333333333335,937,2063,3000,0.008461308453232322,0.2959980452473201,0.32914863359220337,,0.31233333333333335,0.2959980452473201,0.32914863359220337,
image,gemini-image,Gemini Image,Task8,task7,Support Column,0.22566666666666665,677,2323,3000,0.007631977075049038,0.21106428721740286,0.24097073353735335,,0.22566666666666665,0.21106428721740286,0.24097073353735335,
image,gemini-image,Gemini Image,Task9,task8,Hidden Object Count,0.4646666666666667,1394,1606,3000,0.009105887391417994,0.44687567400668504,0.4825480346202946,,0.4646666666666667,0.44687567400668504,0.4825480346202946,
image,gemini-image,Gemini Image,Target1,main,Object Counting,0.147,441,2559,3000,0.006465059937850538,0.13477999352250142,0.1601229068168507,,0.147,0.13477999352250142,0.1601229068168507,
image,gemini-image,Gemini Image,Target2a,task10,Mental Rotation 90,0.275,825,2175,3000,0.008152198067597066,0.259317071385328,0.29125843166383425,,0.275,0.259317071385328,0.29125843166383425,
image,gemini-image,Gemini Image,Target2b,task11,Mental Rotation 180,0.2643333333333333,793,2207,3000,0.008051112184500189,0.24886176055675796,0.28040769226658663,,0.2643333333333333,0.24886176055675796,0.28040769226658663,
image,qwen-image-edit,Qwen Image Edit,Task1,task1,Object Categorization,0.934,2802,198,3000,0.004532990183091067,0.9245486502400554,0.9423412683228943,,0.934,0.9245486502400554,0.9423412683228943,
