model,display_name,object_count,visible_count,hidden_count,referential_chain,visible_support,hidden_support,summation_mechanism,mental_rotation_mean
human,Human,0.8213333333333334,0.768,0.7993333333333333,0.9013452914798207,0.8448350694444444,0.7846121768140117,0.6913333333333334,0.4613333333333333
dapo-32b-tight,dapo-32b-tight,0.6256666666666667,0.6453333333333333,0.7816666666666666,0.9499123718278033,0.7368433972622305,0.8611729769858946,0.9326666666666666,
dapo-7b-tight,dapo-7b-tight,0.507,0.517,0.7596666666666667,0.9367723090249485,0.6685771437610278,0.8548036528593803,0.9,
sft-32b-cot-100pct,sft-32b-cot-100pct,0.4673333333333333,0.4886666666666667,0.7923333333333333,0.9548295340755419,0.6130660493585629,0.8567710597462858,0.9293333333333333,
sft-7b-cot-100pct,sft-7b-cot-100pct,0.4083333333333333,0.4186666666666667,0.7673333333333333,0.9365403931470012,0.6048390393950945,0.852354647148184,0.8956666666666667,
sft-32b-plain-100pct,sft-32b-plain-100pct,0.40066666666666667,0.30933333333333335,0.0,0.0,0.8504672897196262,0.0,0.0,
sft-7b-plain-100pct,sft-7b-plain-100pct,0.397,0.29233333333333333,0.0,0.0,0.8034682080924855,0.0,0.0,
Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,0.043333333333333335,0.034,0.453,0.4810916873209232,0.013056835637480798,0.5660580021482277,0.447,
Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,0.029,0.019333333333333334,0.5043333333333333,0.410641989589358,0.11363035113035112,0.8028724216959511,0.5103333333333333,
