group,model,display_name,task,source_task,task_name,factor,low_level,high_level,delta_high_minus_low,se,p_value,ci_low,ci_high,n_low,n_high
text,qwen,Qwen,Task2,task9,Cluster Count,perspective,0.0,1.0,0.008666666666666711,0.018197240849402663,0.633921956518353,-0.026999925398162504,0.04433325873149593,1500,1500
text,qwen,Qwen,Task2,task9,Cluster Count,offset,3.0,12.5,0.0033333333333332993,0.018197827400440205,0.8546754110609053,-0.032334408371529504,0.0390010750381961,1500,1500
text,qwen,Qwen,Task3,task3,Column Count,perspective,0.0,1.0,-0.07933333333333337,0.01597636494634099,7.233510604073289e-07,-0.11064700862816171,-0.048019658038505025,1500,1500
text,qwen,Qwen,Task3,task3,Column Count,offset,3.0,12.5,-0.0020000000000000018,0.01604188979366525,0.9007903244624478,-0.033442103995583894,0.02944210399558389,1500,1500
text,qwen,Qwen,Task4,task4,Layer Count,perspective,0.0,1.0,-0.04733333333333334,0.015355245338644935,0.0020711024479113855,-0.07742961419707742,-0.017237052469589266,1500,1500
text,qwen,Qwen,Task4,task4,Layer Count,offset,3.0,12.5,-0.0033333333333332993,0.015379439725132626,0.8284260467523079,-0.033477035194593247,0.026810368527926648,1500,1500
text,qwen,Qwen,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.060666666666666674,0.014334721788665156,2.3851942938258822e-05,-0.08876272137245038,-0.03257061196088297,1500,1500
text,qwen,Qwen,Task5,task5,Visible Object Count,offset,3.0,12.5,-0.021999999999999992,0.014371862824100566,0.1259322363793813,-0.0501688511352371,0.00616885113523712,1500,1500
text,qwen,Qwen,Task6,task2,Top Layer,perspective,0.0,1.0,0.05200000000000002,0.01488203808104604,0.00048252697928762874,0.02283120536114978,0.08116879463885025,1500,1500
text,qwen,Qwen,Task6,task2,Top Layer,offset,3.0,12.5,0.011999999999999983,0.014910699515698083,0.42100401521323283,-0.01722497105076826,0.04122497105076822,1500,1500
text,qwen,Qwen,Task7,task6,Direct Support,perspective,0.0,1.0,0.02701489882143654,0.018257028849604052,0.13905881988858457,-0.0087688777237874,0.06279867536666048,1500,1499
text,qwen,Qwen,Task7,task6,Direct Support,offset,3.0,12.5,-0.0163446742272626,0.018261258434188653,0.37083414347026855,-0.05213674075827236,0.01944739230374716,1499,1500
text,qwen,Qwen,Task8,task7,Support Column,perspective,0.0,1.0,-0.0020000000000000018,0.018034064572081173,0.9117020911468645,-0.0373467665612791,0.0333467665612791,1500,1500
text,qwen,Qwen,Task8,task7,Support Column,offset,3.0,12.5,-0.006000000000000005,0.018033768635741992,0.7393770973538705,-0.04134618652605431,0.0293461865260543,1500,1500
text,qwen,Qwen,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.01266666666666666,0.01825989496111105,0.48793174943306017,-0.023122727457110998,0.048456060790444316,1500,1500
text,qwen,Qwen,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.0006666666666666488,0.018261356272287588,0.9708805568486812,-0.03645892496035032,0.03512559162701702,1500,1500
text,qwen,Qwen,Target1,main,Object Counting,perspective,0.0,1.0,-0.04933333333333334,0.013922389365843056,0.0004010249173737136,-0.07662121649038572,-0.022045450176280953,1500,1500
text,qwen,Qwen,Target1,main,Object Counting,offset,3.0,12.5,-0.023999999999999994,0.013944626134404435,0.08533739119495856,-0.05133146722343269,0.0033314672234327006,1500,1500
text,qwen,Qwen,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,0.03733333333333333,0.013351000081360398,0.005202465179016569,0.011165373173866951,0.0635012934927997,1500,1500
text,qwen,Qwen,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,-0.016000000000000014,0.013365205402085033,0.23134743912205036,-0.04219580258808668,0.010195802588086653,1500,1500
text,qwen,Qwen,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,0.021999999999999992,0.012705836934055015,0.08346813240057073,-0.002903440390747837,0.04690344039074782,1500,1500
text,qwen,Qwen,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,-0.0006666666666666765,0.012712182539141635,0.9581791009761764,-0.02558254444338428,0.024249211110050926,1500,1500
text,vla0,vla0,Task2,task9,Cluster Count,perspective,0.0,1.0,0.006000000000000005,0.015363545951851793,0.6961688453252115,-0.02411255006562951,0.03611255006562952,1500,1500
text,vla0,vla0,Task2,task9,Cluster Count,offset,3.0,12.5,-0.003333333333333327,0.015363816128993207,0.8282542916888632,-0.03344641294616001,0.02677974627949336,1500,1500
text,vla0,vla0,Task3,task3,Column Count,perspective,0.0,1.0,0.0013333333333333333,0.0009424945097829577,0.157368405057824,-0.0005139559058412637,0.00318062257250793,1500,1500
text,vla0,vla0,Task3,task3,Column Count,offset,3.0,12.5,0.0,0.0009428090415820634,1.0,-0.0018479057215008443,0.0018479057215008443,1500,1500
text,vla0,vla0,Task4,task4,Layer Count,perspective,0.0,1.0,0.013333333333333336,0.013908092276126452,0.33780012381252233,-0.013926527527874509,0.04059319419454118,1500,1500
text,vla0,vla0,Task4,task4,Layer Count,offset,3.0,12.5,-0.010666666666666685,0.01390885970618338,0.44320301106497806,-0.03792803169078611,0.01659469835745274,1500,1500
text,vla0,vla0,Task5,task5,Visible Object Count,perspective,0.0,1.0,0.008666666666666666,0.0039190912919629985,0.027093703745108045,0.0009852477344191894,0.016348085598914142,1500,1500
text,vla0,vla0,Task5,task5,Visible Object Count,offset,3.0,12.5,-0.004666666666666666,0.003921360247704403,0.23411945184904995,-0.012352532752167295,0.0030191994188339625,1500,1500
text,vla0,vla0,Task6,task2,Top Layer,perspective,0.0,1.0,0.005333333333333329,0.013230535454620912,0.6868976009928656,-0.020598516157723658,0.031265182824390315,1500,1500
text,vla0,vla0,Task6,task2,Top Layer,offset,3.0,12.5,-0.0026666666666666783,0.013230804369765108,0.840282326921533,-0.02859904323140629,0.023265709898072934,1500,1500
text,vla0,vla0,Task7,task6,Direct Support,perspective,0.0,1.0,-0.005333333333333357,0.01766107085552829,0.7626863931379515,-0.03994903221016881,0.029282365543502095,1500,1500
text,vla0,vla0,Task7,task6,Direct Support,offset,3.0,12.5,-0.025333333333333374,0.017655278047437408,0.151423557009119,-0.05993767830631069,0.009271011639643945,1500,1500
text,vla0,vla0,Task8,task7,Support Column,perspective,0.0,1.0,0.018666666666666665,0.013109529295799428,0.15457957896787483,-0.007028010753100215,0.044361344086433545,1500,1500
text,vla0,vla0,Task8,task7,Support Column,offset,3.0,12.5,-0.009333333333333332,0.01311285352550506,0.47666274218590643,-0.03503452624332325,0.016367859576656586,1500,1500
text,vla0,vla0,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.011333333333333334,0.014337699920789423,0.429323556898643,-0.016768558511413935,0.0394352251780806,1500,1500
text,vla0,vla0,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.006000000000000005,0.014338775205377002,0.675651196281852,-0.03410399940253893,0.022103999402538918,1500,1500
text,vla0,vla0,Target1,main,Object Counting,perspective,0.0,1.0,0.008666666666666663,0.007297342290636241,0.23506752958680605,-0.00563612422298037,0.022969457556313695,1500,1500
text,vla0,vla0,Target1,main,Object Counting,offset,3.0,12.5,0.018000000000000002,0.007291651815480921,0.013622933935637271,0.003708362441657396,0.032291637558342606,1500,1500
text,vla0,vla0,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,0.028666666666666674,0.015130348082696263,0.05823555085895007,-0.000988815575418002,0.05832214890875135,1500,1500
text,vla0,vla0,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,0.020666666666666667,0.015134697764452316,0.172193595527513,-0.008997340951659872,0.0503306742849932,1500,1500
text,vla0,vla0,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,0.004666666666666652,0.014971967480724312,0.7552950557342942,-0.024678389595552998,0.0340117229288863,1500,1500
text,vla0,vla0,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,0.0020000000000000018,0.01497216551214436,0.8937427082433578,-0.027345444403802946,0.03134544440380295,1500,1500
