modality,bundle,model,r_ws,p_ws,n_varying,p_ws_fdr
text,Internal Referential Chain,aggregate,0.43632070857204835,0.0,2999,0.0
text,Visible Count Hierarchy,aggregate,0.5918311640439465,0.0,2997,0.0
text,Hidden Count Hierarchy,aggregate,0.49791368768053856,0.0,2981,0.0
text,Summation Mechanism,aggregate,0.5449689730121642,0.0,2918,0.0
text,Internal Referential Chain,claude,0.05036163062294113,0.0058056458280510955,2999,0.006966774993661315
text,Internal Referential Chain,gemini,0.17030503740468145,5.9303245686218165e-21,2999,9.282247150886321e-21
text,Internal Referential Chain,glm,0.008444340462479712,0.6438992258700762,2999,0.6622963466092212
text,Internal Referential Chain,gpt,0.11218648703175953,7.248004735116474e-10,2999,1.0437126818567722e-09
text,Internal Referential Chain,human,0.17031438798487142,5.900929982923591e-21,2999,9.282247150886321e-21
text,Internal Referential Chain,kimi,0.14007746117728215,1.2992216126280581e-14,2999,1.9488324189420873e-14
text,Internal Referential Chain,qwen3b,-0.03194123992624321,0.08030499339487028,2999,0.09034311756922907
text,Internal Referential Chain,qwen,0.3194353295360053,4.1142380215721023e-72,2999,1.2342714064716308e-71
text,Internal Referential Chain,vla0,-0.06593833979262462,0.0003021880912210829,2999,0.000388527545855678
text,Visible Count Hierarchy,claude,0.3284107751576662,2.655651294388484e-76,2997,8.691222417998676e-76
text,Visible Count Hierarchy,gemini,0.3138596039786511,1.6640723281275207e-69,2997,4.608200293276211e-69
text,Visible Count Hierarchy,glm,0.3352754187345034,1.2176577403980457e-79,2997,4.383567865432965e-79
text,Visible Count Hierarchy,gpt,0.3486590949616839,2.122243856759472e-86,2997,8.488975427037889e-86
text,Visible Count Hierarchy,human,0.3997794727395312,2.0225393146367802e-115,2997,1.4562283065384816e-114
text,Visible Count Hierarchy,kimi,0.3904088195128393,1.0536929644810759e-109,2997,6.322157786886456e-109
text,Visible Count Hierarchy,qwen3b,0.011710582029084215,0.5216209642195931,2997,0.5690410518759198
text,Visible Count Hierarchy,qwen,0.6134577504236531,2.08999652776624e-309,2997,3.7619937499792306e-308
text,Visible Count Hierarchy,vla0,0.010760009167035138,0.5559776422517132,2997,0.5886822094429904
text,Hidden Count Hierarchy,claude,0.2503594204567482,7.785137336483915e-44,2981,1.334594971968671e-43
text,Hidden Count Hierarchy,gemini,0.3070999611018438,3.953649876115761e-66,2981,9.488759702677825e-66
text,Hidden Count Hierarchy,glm,0.09178751707532984,5.168177112663776e-07,2981,7.155937540611383e-07
text,Hidden Count Hierarchy,gpt,0.2624666204145671,3.7299885260732907e-48,2981,6.713979346931923e-48
text,Hidden Count Hierarchy,human,0.29977699076254033,5.940668250918944e-63,2981,1.2580238649004824e-62
text,Hidden Count Hierarchy,kimi,0.304603739748437,4.900154676071348e-65,2981,1.1025348021160532e-64
text,Hidden Count Hierarchy,qwen3b,-0.052143296398232335,0.004403768503267682,2981,0.005466747107504708
text,Hidden Count Hierarchy,qwen,0.48247128541039447,1.1758778533564789e-173,2981,1.4110534240277746e-172
text,Hidden Count Hierarchy,vla0,-0.08540207777706561,3.0207301725612325e-06,2981,4.027640230081644e-06
text,Summation Mechanism,claude,0.41225912609473836,3.9978761896824216e-120,2918,3.598088570714179e-119
text,Summation Mechanism,gemini,0.31378705796022743,1.0915023024307593e-67,2918,2.806720206250524e-67
text,Summation Mechanism,glm,0.27055819685240856,3.979433878707601e-50,2918,7.539979980709139e-50
text,Summation Mechanism,gpt,0.3774589129391719,1.842458438026681e-99,2918,9.475500538422931e-99
text,Summation Mechanism,human,0.29696723579739565,1.7224187248734264e-60,2918,3.444837449746853e-60
text,Summation Mechanism,kimi,0.3759732310304865,1.2390981011869565e-98,2918,5.5759414553413045e-98
text,Summation Mechanism,qwen3b,-0.038909581553058924,0.035576659591480805,2918,0.04131483049333255
text,Summation Mechanism,qwen,0.6521151633173521,0.0,2918,0.0
text,Summation Mechanism,vla0,0.004278978532347995,0.8172789965775255,2918,0.8172789965775255
