model,display_name,object_count,visible_count,hidden_count,referential_chain,visible_support,hidden_support,summation_mechanism,mental_rotation_mean
human,Human,0.8213333333333334,0.768,0.7993333333333333,0.9013452914798207,0.8448350694444444,0.7846121768140117,0.6913333333333334,0.4613333333333333
qwen,Qwen,0.17733333333333334,0.19166666666666668,0.49233333333333335,0.5071736011477762,0.7817391304347826,0.47901150981719703,0.6416666666666667,0.15016666666666667
gemini,Gemini,0.14833333333333334,0.17739246415471824,0.43566666666666665,0.6447214647448383,0.5667293233082706,0.3458301453710788,0.185728576192064,0.3645584639324219
claude,Claude,0.14066666666666666,0.157,0.514,0.5237288135593221,0.4851380042462845,0.3249027237354085,0.437,0.38283333333333336
kimi,Kimi,0.136,0.11466666666666667,0.331,0.47180816591056385,0.5290697674418604,0.24521651560926486,0.24966666666666668,0.1825
gpt,GPT,0.08333333333333333,0.08666666666666667,0.4736666666666667,0.5432225063938618,0.5615384615384615,0.2836030964109782,0.328,0.33366666666666667
vla0,vla0,0.041666666666666664,0.011666666666666667,0.19033333333333333,0.16709021601016516,0.0,0.07443082311733801,0.19866666666666666,0.217
glm,GLM,0.035,0.029,0.16366666666666665,0.39872746553552496,0.3275862068965517,0.09470468431771895,0.08217203267659778,0.03133333333333334
qwen3b,Qwen3B,0.021333333333333333,0.0023333333333333335,0.18966666666666668,0.170911528150134,0.0,0.0641476274165202,0.24666666666666667,0.24883333333333332
