group,model,display_name,visible_correct,hidden_correct,cell,main_accuracy,main_correct,main_incorrect,n,share_of_scenes,overall_main_accuracy,overall_main_correct,overall_n
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,1,1,V+ H+,0.8679245283018868,46,7,53,0.017666666666666667,0.029,87,3000
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,1,0,V+ H-,0.2,1,4,5,0.0016666666666666668,0.029,87,3000
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,0,1,V- H+,0.02671232876712329,39,1421,1460,0.4866666666666667,0.029,87,3000
trained_text,Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,0,0,V- H-,0.0006747638326585695,1,1481,1482,0.494,0.029,87,3000
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,1,1,V+ H+,0.8533333333333334,64,11,75,0.025,0.043333333333333335,130,3000
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,1,0,V+ H-,0.18518518518518517,5,22,27,0.009,0.043333333333333335,130,3000
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,0,1,V- H+,0.03115264797507788,40,1244,1284,0.428,0.043333333333333335,130,3000
trained_text,Qwen2.5-VL-7B-Instruct,Qwen2.5-VL-7B-Instruct,0,0,V- H-,0.013011152416356878,21,1593,1614,0.538,0.043333333333333335,130,3000
trained_text,dapo-32b-tight,dapo-32b-tight,1,1,V+ H+,0.9894366197183099,1686,18,1704,0.568,0.6256666666666667,1877,3000
trained_text,dapo-32b-tight,dapo-32b-tight,1,0,V+ H-,0.04741379310344827,11,221,232,0.07733333333333334,0.6256666666666667,1877,3000
trained_text,dapo-32b-tight,dapo-32b-tight,0,1,V- H+,0.0187207488299532,12,629,641,0.21366666666666667,0.6256666666666667,1877,3000
trained_text,dapo-32b-tight,dapo-32b-tight,0,0,V- H-,0.3971631205673759,168,255,423,0.141,0.6256666666666667,1877,3000
trained_text,dapo-7b-tight,dapo-7b-tight,1,1,V+ H+,0.9809802487198245,1341,26,1367,0.45566666666666666,0.507,1521,3000
trained_text,dapo-7b-tight,dapo-7b-tight,1,0,V+ H-,0.05434782608695652,10,174,184,0.06133333333333333,0.507,1521,3000
trained_text,dapo-7b-tight,dapo-7b-tight,0,1,V- H+,0.02850877192982456,26,886,912,0.304,0.507,1521,3000
trained_text,dapo-7b-tight,dapo-7b-tight,0,0,V- H-,0.2681564245810056,144,393,537,0.179,0.507,1521,3000
trained_text,human,Human,1,1,V+ H+,0.9064356435643565,1831,189,2020,0.6733333333333333,0.8213333333333334,2464,3000
trained_text,human,Human,1,0,V+ H-,0.7852112676056338,223,61,284,0.09466666666666666,0.8213333333333334,2464,3000
trained_text,human,Human,0,1,V- H+,0.5873015873015873,222,156,378,0.126,0.8213333333333334,2464,3000
trained_text,human,Human,0,0,V- H-,0.5911949685534591,188,130,318,0.106,0.8213333333333334,2464,3000
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,1,1,V+ H+,0.9812646370023419,1257,24,1281,0.427,0.4673333333333333,1402,3000
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,1,0,V+ H-,0.03783783783783784,7,178,185,0.06166666666666667,0.4673333333333333,1402,3000
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,0,1,V- H+,0.008211678832116789,9,1087,1096,0.36533333333333334,0.4673333333333333,1402,3000
trained_text,sft-32b-cot-100pct,sft-32b-cot-100pct,0,0,V- H-,0.2945205479452055,129,309,438,0.146,0.4673333333333333,1402,3000
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,1,1,V+ H+,,0,0,0,0.0,0.40066666666666667,1202,3000
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,1,0,V+ H-,0.8868534482758621,823,105,928,0.30933333333333335,0.40066666666666667,1202,3000
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,0,1,V- H+,,0,0,0,0.0,0.40066666666666667,1202,3000
trained_text,sft-32b-plain-100pct,sft-32b-plain-100pct,0,0,V- H-,0.1829150579150579,379,1693,2072,0.6906666666666667,0.40066666666666667,1202,3000
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,1,1,V+ H+,0.9776119402985075,1048,24,1072,0.35733333333333334,0.4083333333333333,1225,3000
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,1,0,V+ H-,0.07608695652173914,14,170,184,0.06133333333333333,0.4083333333333333,1225,3000
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,0,1,V- H+,0.02195121951219512,27,1203,1230,0.41,0.4083333333333333,1225,3000
trained_text,sft-7b-cot-100pct,sft-7b-cot-100pct,0,0,V- H-,0.26459143968871596,136,378,514,0.17133333333333334,0.4083333333333333,1225,3000
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,1,1,V+ H+,,0,0,0,0.0,0.397,1191,3000
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,1,0,V+ H-,0.8529076396807298,748,129,877,0.29233333333333333,0.397,1191,3000
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,0,1,V- H+,,0,0,0,0.0,0.397,1191,3000
trained_text,sft-7b-plain-100pct,sft-7b-plain-100pct,0,0,V- H-,0.2086669806877061,443,1680,2123,0.7076666666666667,0.397,1191,3000
