model,display_name,object_count,visible_count,hidden_count,referential_chain,visible_support,hidden_support,summation_mechanism,mental_rotation_mean
gemini-image,Gemini Image,0.147,0.361,0.4646666666666667,0.5371747211895911,0.3702677746999077,0.36549497847919654,0.2949526813880126,0.26966666666666667
qwen-image-edit,Qwen Image Edit,0.12033333333333333,0.03266666666666666,0.387,0.6763698630136986,0.5867346938775511,0.1124031007751938,0.23809523809523808,0.3138333333333333
hunyuan,hunyuan,0.058666666666666666,0.10833333333333334,0.30533333333333335,0.5010504201680672,0.32153846153846155,0.18995633187772926,0.09375,0.159
